id,date,customer,category,amount,status
1,2026-02-10,Priya,Electronics,7453.53,SUCCESS
2,2026-01-15,Amit,Sports,1159.47,FAILED
3,2026-01-06,Pooja,Furniture,463.03,SUCCESS
4,2026-01-14,Sneha,Books,6079.28,FAILED
5,2026-01-13,Rohit,Furniture,2321.12,FAILED
6,2026-01-18,Rahul,Groceries,7025.97,SUCCESS
7,2026-01-18,Amit,Groceries,9577.59,SUCCESS
8,2026-01-07,Priya,Furniture,1102.56,SUCCESS
9,2026-02-08,Vikram,Electronics,7337.13,FAILED
10,2026-01-08,Karan,Electronics,5587.05,FAILED
11,2026-02-26,Neha,Books,2043.85,SUCCESS
12,2026-01-03,Sneha,Clothing,9853.45,SUCCESS
13,2026-02-25,Priya,Furniture,2887.76,SUCCESS
14,2026-01-11,Neha,Clothing,2213.43,SUCCESS
15,2026-02-14,Priya,Books,6403.9,FAILED
16,2026-02-16,Sneha,Groceries,4702.8,SUCCESS
17,2026-03-01,Rohit,Groceries,abc,SUCCESS
18,2026-02-22,Rahul,Clothing,4101.07,SUCCESS
19,2026-01-14,Pooja,Sports,3249.26,SUCCESS
20,2026-01-26,Anjali,Groceries,2758.8,SUCCESS
21,2026-02-17,Rohit,Books,2737.74,FAILED
22,2026-01-28,Pooja,Furniture,3715.3,SUCCESS
23,2026-02-02,Anjali,Electronics,7593.7,SUCCESS
24,2026-01-10,Amit,Sports,4307.85,SUCCESS
25,2026-01-25,Karan,Books,9960.8,FAILED
26,2026-01-17,Rohit,Electronics,6850.11,SUCCESS
27,2026-02-13,Rohit,Clothing,7719.93,SUCCESS
28,2026-01-08,Vikram,Furniture,1707.7,SUCCESS
29,2026-02-16,Vikram,Books,7654.57,FAILED
30,2026-02-28,Priya,Sports,3089.38,FAILED
31,2026-02-08,Sneha,Groceries,3832.68,SUCCESS
32,2026-02-04,Rohit,Electronics,6049.01,SUCCESS
33,2026-01-02,Priya,Clothing,8804.53,SUCCESS
34,2026-01-16,Rahul,Groceries,abc,SUCCESS
35,2026-02-16,Anjali,Electronics,9782.17,FAILED
36,2026-02-19,Amit,Groceries,6647.89,FAILED
37,2026-01-11,Vikram,Books,8742.59,SUCCESS
38,2026-01-14,Rohit,Sports,6944.51,SUCCESS
39,2026-01-26,Neha,Furniture,9010.3,SUCCESS
40,2026-01-08,Sneha,Groceries,780.59,SUCCESS
41,2026-02-07,Rohit,Groceries,5945.55,SUCCESS
42,2026-01-05,Rahul,Groceries,813.83,SUCCESS
43,2026-02-25,Neha,Electronics,5213.92,SUCCESS
44,2026-02-12,Anjali,Groceries,5460.91,FAILED
45,2026-02-06,Anjali,Groceries,7877.72,SUCCESS
46,2026-01-13,Priya,Electronics,6640.32,SUCCESS
47,2026-01-28,Karan,Furniture,8657.93,SUCCESS
48,2026-02-13,Priya,Electronics,4115.42,SUCCESS
49,2026-02-21,Priya,Groceries,2036.97,FAILED
50,2026-01-29,Amit,Furniture,1957.17,SUCCESS
51,2026-01-16,Priya,Furniture,8108.21,FAILED
52,2026-01-07,Rahul,Sports,9991.93,SUCCESS
53,2026-01-06,Sneha,Groceries,4152.77,SUCCESS
54,2026-01-14,Karan,Electronics,1771.51,SUCCESS
55,2026-01-25,Vikram,Furniture,2959.42,FAILED
56,2026-02-12,Anjali,Groceries,2020.3,SUCCESS
57,2026-01-04,Pooja,Sports,5490.08,SUCCESS
58,2026-01-04,Rahul,Books,abc,FAILED
59,2026-01-04,Rohit,Electronics,8534.87,SUCCESS
60,2026-02-08,Priya,Sports,8638.06,SUCCESS
61,2026-01-08,Pooja,Groceries,5851.77,SUCCESS
62,2026-02-09,Priya,Furniture,6624.47,FAILED
63,2026-02-03,Neha,Clothing,2161.75,SUCCESS
64,2026-01-16,Vikram,Furniture,1439.02,SUCCESS
65,2026-01-30,Neha,Electronics,241.75,FAILED
66,2026-02-06,Priya,Electronics,5445.16,FAILED
67,2026-01-17,Amit,Clothing,8825.63,SUCCESS
68,2026-01-24,Vikram,Groceries,4465.68,FAILED
69,2026-02-15,Vikram,Books,9839.97,FAILED
70,2026-01-01,Rohit,Clothing,9326.87,SUCCESS
71,2026-03-02,Amit,Clothing,1286.86,SUCCESS
72,2026-02-17,Rohit,Groceries,2832.36,FAILED
73,2026-01-14,Neha,Groceries,6921.16,SUCCESS
74,2026-02-02,Anjali,Clothing,9066.66,SUCCESS
75,2026-01-06,Karan,Clothing,584.21,SUCCESS
76,2026-02-19,Amit,Sports,9800.03,SUCCESS
77,2026-02-17,Anjali,Books,abc,FAILED
